iter	Passed	Remaining
0	57	57310
1	57	28741
2	57	19217
3	58	14461
4	58	11603
5	58	9695
6	58	8334
7	58	7312
8	59	6519
9	59	5883
10	59	5361
11	59	4930
12	60	4564
13	60	4249
14	60	3975
15	60	3737
16	61	3527
17	61	3341
18	61	3173
19	61	3023
20	61	2886
21	62	2764
22	62	2650
23	62	2546
24	62	2451
25	63	2364
26	63	2282
27	63	2206
28	63	2135
29	64	2069
30	64	2007
31	64	1949
32	64	1895
33	64	1844
34	65	1795
35	65	1750
36	65	1706
37	65	1665
38	66	1626
39	66	1589
40	66	1554
41	66	1521
42	66	1489
43	67	1460
44	67	1431
45	67	1403
46	67	1377
47	68	1351
48	68	1327
49	68	1303
50	68	1280
51	69	1258
52	69	1238
53	69	1218
54	69	1198
55	69	1178
56	70	1160
57	70	1142
58	70	1126
59	70	1109
60	71	1093
61	71	1078
62	71	1062
63	71	1048
64	71	1034
65	72	1021
66	72	1008
67	72	993
68	72	981
69	72	968
70	73	957
71	73	946
72	73	935
73	73	924
74	74	913
75	74	903
76	74	893
77	74	883
78	74	874
79	75	865
80	75	856
81	75	847
82	75	838
83	76	830
84	76	820
85	76	812
86	76	803
87	76	795
88	77	788
89	77	781
90	77	773
91	77	767
92	77	760
93	78	753
94	78	747
95	78	740
96	78	734
97	79	728
98	79	722
99	79	716
100	79	710
101	79	703
102	80	698
103	80	692
104	80	687
105	80	681
106	81	677
107	81	671
108	81	667
109	81	662
110	82	657
111	82	653
112	82	648
113	82	644
114	83	639
115	83	634
116	83	629
117	83	625
118	83	620
119	84	616
120	84	611
121	84	607
122	84	602
123	84	598
124	84	594
125	85	590
126	85	586
127	85	582
128	85	578
129	85	574
130	86	571
131	86	568
132	86	565
133	87	562
134	87	559
135	87	556
136	87	553
137	88	549
138	88	546
139	88	543
140	88	540
141	88	537
142	89	534
143	89	530
144	89	528
145	89	525
146	90	522
147	90	519
148	90	516
149	90	513
150	90	510
151	91	507
152	91	505
153	91	502
154	91	499
155	91	497
156	92	494
157	92	491
158	92	489
159	92	486
160	92	484
161	93	482
162	93	479
163	93	477
164	93	475
165	94	472
166	94	470
167	94	468
168	94	465
169	94	463
170	95	461
171	95	459
172	95	457
173	95	454
174	96	452
175	96	450
176	96	448
177	96	446
178	96	444
179	97	442
180	97	439
181	97	438
182	97	436
183	97	434
184	98	432
185	98	430
186	98	428
187	98	426
188	98	424
189	99	422
190	99	421
191	99	419
192	99	417
193	100	415
194	100	414
195	100	412
196	100	410
197	100	409
198	101	407
199	101	405
200	101	403
201	101	402
202	102	400
203	102	399
204	102	397
205	102	396
206	103	394
207	103	393
208	103	391
209	103	390
210	103	388
211	104	387
212	104	385
213	104	384
214	104	382
215	105	381
216	105	379
217	105	378
218	105	376
219	105	375
220	106	374
221	106	372
222	106	371
223	106	369
224	106	368
225	107	367
226	107	365
227	107	364
228	107	363
229	108	361
230	108	360
231	108	359
232	108	357
233	109	356
234	109	355
235	109	354
236	109	353
237	109	352
238	110	350
239	110	349
240	110	348
241	110	347
242	111	346
243	111	344
244	111	343
245	111	342
246	111	341
247	112	340
248	112	339
249	112	338
250	113	337
251	113	336
252	113	335
253	113	334
254	114	333
255	114	332
256	114	330
257	114	329
258	114	328
259	115	327
260	115	326
261	115	325
262	115	324
263	116	323
264	116	322
265	116	321
266	116	320
267	117	319
268	117	318
269	117	317
270	117	316
271	117	315
272	118	314
273	118	313
274	118	312
275	118	311
276	119	310
277	119	309
278	119	308
279	119	307
280	119	306
281	120	305
282	120	304
283	120	303
284	120	302
285	120	301
286	121	300
287	121	300
288	121	299
289	121	298
290	122	297
291	122	296
292	122	296
293	122	295
294	123	294
295	123	293
296	123	292
297	123	291
298	123	290
299	124	289
300	124	288
301	124	288
302	124	287
303	125	286
304	125	285
305	125	284
306	125	283
307	125	283
308	126	282
309	126	281
310	126	280
311	126	279
312	127	279
313	127	278
314	127	277
315	127	276
316	128	275
317	128	275
318	128	274
319	128	273
320	128	272
321	128	271
322	129	270
323	129	270
324	129	269
325	129	268
326	130	267
327	130	266
328	130	265
329	130	265
330	130	264
331	131	263
332	131	262
333	131	262
334	131	261
335	131	260
336	132	259
337	132	259
338	132	258
339	132	257
340	132	256
341	133	256
342	133	255
343	133	254
344	133	253
345	133	253
346	134	252
347	134	251
348	134	250
349	134	250
350	134	249
351	135	248
352	135	248
353	135	247
354	135	247
355	136	246
356	136	245
357	136	245
358	137	244
359	137	244
360	137	243
361	137	242
362	138	242
363	138	241
364	138	241
365	138	240
366	138	239
367	139	239
368	139	238
369	139	237
370	139	237
371	140	236
372	140	235
373	140	235
374	140	234
375	140	233
376	141	233
377	141	232
378	141	232
379	141	231
380	142	231
381	142	230
382	142	229
383	142	229
384	143	228
385	143	228
386	143	227
387	143	227
388	144	226
389	144	225
390	144	225
391	144	224
392	145	224
393	145	223
394	145	223
395	145	222
396	146	221
397	146	221
398	146	220
399	146	220
400	146	219
401	147	218
402	147	218
403	147	217
404	147	217
405	147	216
