iter	Passed	Remaining
0	59	59066
1	59	29641
2	59	19830
3	59	14912
4	60	11967
5	60	10001
6	60	8595
7	60	7540
8	61	6724
9	61	6067
10	61	5529
11	61	5083
12	61	4704
13	62	4384
14	62	4102
15	62	3858
16	62	3640
17	63	3447
18	63	3273
19	63	3118
20	63	2977
21	64	2849
22	64	2731
23	64	2624
24	64	2529
25	65	2438
26	65	2353
27	65	2274
28	65	2200
29	65	2132
30	66	2068
31	66	2007
32	66	1950
33	66	1897
34	67	1847
35	67	1800
36	67	1755
37	67	1713
38	67	1673
39	68	1634
40	68	1598
41	68	1563
42	68	1530
43	68	1498
44	69	1468
45	69	1439
46	69	1412
47	69	1386
48	70	1361
49	70	1337
50	70	1314
51	70	1291
52	71	1270
53	71	1250
54	71	1230
55	71	1210
56	72	1191
57	72	1173
58	72	1157
59	72	1140
60	73	1124
61	73	1107
62	73	1092
63	73	1077
64	73	1063
65	74	1049
66	74	1035
67	74	1022
68	74	1009
69	75	997
70	75	985
71	75	972
72	75	961
73	75	950
74	76	939
75	76	929
76	76	919
77	76	909
78	77	898
79	77	889
80	77	880
81	77	870
82	77	860
83	78	851
84	78	842
85	78	834
86	78	826
87	78	818
88	79	810
89	79	802
90	79	795
91	79	787
92	80	789
93	81	782
94	81	774
95	82	773
96	82	766
97	82	759
98	82	753
99	82	746
100	83	740
101	83	734
102	83	728
103	83	722
104	84	716
105	84	710
106	84	704
107	84	699
108	84	694
109	85	688
110	85	683
111	85	678
112	85	673
113	85	668
114	86	663
115	86	658
116	86	653
117	86	649
118	87	644
119	87	640
120	87	635
121	87	630
122	87	626
123	88	622
124	88	618
125	88	614
126	88	609
127	88	605
128	89	601
129	89	598
130	89	594
131	89	590
132	89	586
133	90	583
134	90	579
135	90	576
136	90	572
137	91	569
138	91	565
139	91	562
140	91	559
141	91	555
142	92	551
143	92	548
144	92	545
145	92	542
146	92	539
147	93	536
148	93	533
149	93	530
150	93	527
151	93	524
152	94	521
153	94	518
154	94	515
155	94	513
156	95	510
157	95	507
158	95	504
159	95	502
160	95	499
161	96	500
162	96	497
163	97	495
164	97	492
165	97	490
166	97	487
167	98	485
168	98	482
169	98	480
170	98	478
171	98	475
172	99	473
173	99	471
174	99	469
175	99	467
176	99	464
177	100	462
178	100	460
179	100	458
180	100	456
181	101	454
182	101	452
183	101	450
184	101	448
185	101	446
186	102	444
187	102	442
188	102	440
189	102	438
190	102	436
191	103	434
192	103	432
193	103	430
194	103	428
195	104	426
196	104	424
197	104	423
198	104	421
199	104	419
200	105	417
201	105	415
202	105	414
203	105	412
204	105	410
205	106	409
206	106	407
207	106	405
208	106	404
209	107	402
210	107	401
211	107	399
212	107	397
213	107	396
214	108	394
215	108	393
216	108	391
217	108	390
218	109	388
219	109	387
220	109	385
221	109	384
